Reg_No,"Variation Number","Service Number","Current Traffic Area",Lic_No,"Discs in Possession",AUTHDISCS,Granted_Date,Exp_Date,Description,Op_ID,Op_Name,trading_name,Address,start_point,finish_point,via,effective_date,received_date,end_date,Service_Type_Other_Details,"Licence Status","Registration Status",Pub_Text,Service_Type_Description,"Short Notice",Subsidies_Description,Subsidies_Details,Auth_Description,"TAO Covered BY Area",reg_code
PF0000003/1,0,"SC 716",F,PF0000003,40,40,26/06/92,31/05/21,"Standard National",16346,"BEESTONS (HADLEIGH) LTD","BEESTONS COACHES","IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Hadleigh,"Sudbury Upper Sch",,08/04/02,,,,Valid,Registered,,,No,No,,,"East of England",1
PF0000003/1,1,"SC 716",F,PF0000003,40,40,26/06/92,31/05/21,"Standard National",16346,"BEESTONS (HADLEIGH) LTD","BEESTONS COACHES","IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Hadleigh,"Sudbury Upper Sch",,12/05/14,17/03/14,,,Valid,Cancelled,"Operating between Hadleigh and Sudbury Upper Sch given service number SC 716 effective from 12-May-2014.","School or Works",No,No,,"Suffolk County Council","East of England",1
